,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
0,PHP Web Developer,Numinix Web Development Ltd.,"São Paulo, SP",R$ 8.000 - R$ 12.000 por mês,EmployerAtiva 2 dias atrás,2022-05-06,"Provide technical leadership, feedback and mentorship to mid-level and junior developer.*Work within a cross-functional product team to execute the roadmap…",https://www.br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFANyWBSOsZH002SzR5mQWS6dWhvxFY9GDErRpvQR2sishiwHQXgG2jL57kbWRi5FsabhlDJ-lwcELNvubg7uO7YfydIkpmHfaS2SO0OzsHnxyun1sGlVch5e5-mNLFQY75F-6XFvGOWG3V_p8SuuOAXCK4_D2jyUtXWmpORX9fa09ULge2h3C6hjo99aCUZ_ncxeX__bQ7_EaQ_YWWfY6rtfilDhvrzYS1IV6mbKIY7Yn_Ba23UhqKdhhEXdAPCNei8Eo8XZL49DZtEJez9dFCLvc255EYlGZqVkxODhdwfWWx0L3NcnymKVaZjCWxRJslqolz_sxepWmwCsmrsYhykVmNm0jkCAxlH9jmdrGeWA6LTFIMdVLsgvuREZZq6bfH4i63h9yE5YnR1tR-LyEKftul8rilkoFWAP7Aza3m9Sl2ok0UmusvEhj2AUEGKGO9BCRFVIHdQzL-K54SKyOcsG3le9d-SI=&p=0&fvj=1&vjs=3
1,Desenvolvedor Back-End Junior,Esferas Software,"São Paulo, SP",R$ 3.000 por mês,PostedRecém publicada,2022-05-06,"Sistema híbrido (geralmente 1 vez por semana presencial na Vila Olímpia, São Paulo - SP).Desenvolver novas funcionalidades nas aplicações.",https://www.br.indeed.com/company/Esferas-Software/jobs/Desenvolvedor-Back-End-Junior-c67677dbd1ba797f?fccid=36e419d01e34ff6e&vjs=3
2,Programador PHP PLENO,Maxnivel Tecnologia Ltda,"Home office in São Paulo, SP",R$ 6.000 - R$ 8.000 por mês,EmployerAtiva 7 dias atrás,2022-05-06,Experiência em php e mysql javascript orientação a objeto.Atuação em atividades de programação de software.,https://www.br.indeed.com/company/Maxnivel-Tecnologia-Ltda/jobs/Programador-PHP-Pleno-b7f0c654593af7b0?fccid=ed27e511a224a841&vjs=3
3,Desenvolvedor,TradeUp Group,"Barueri, SP",R$ 2.500 - R$ 8.500 por mês,PostedRecém publicada,2022-05-06,Experiência como desenvolvedor ao menos por 6 anos.Vue.js + ecossistema Vue (avançado).,https://www.br.indeed.com/company/TradeUp-Group/jobs/Desenvolvedor-741245da4a3d03ca?fccid=04103f043bf90d81&vjs=3
4,Analista de Desenvolvimento,GRUPO MAIS VALOR,"São Paulo, SP",R$ 3.000 - R$ 6.000 por mês,Postedhá 2 dias,2022-05-06,"NECESSÁRIO: Superior completo ou cursando na área de TI e nível intermediário em javascript, PHP e MySQL.CONHECIMENTO: PHP 7.4, Javascript, HTML, CSS, MySQL …",https://www.br.indeed.com/company/Grupo-Mais-Valor/jobs/Analista-Desenvolvimento-69a2779076b68f1c?fccid=17140619002d0982&vjs=3
5,Desenvolvedor PHP React,Clubedodev,"Home office in Barueri, SP",R$ 3.000 - R$ 8.000 por mês,EmployerAtiva 15 dias atrás,2022-05-06,Conhecimentos em React e React native será diferencial para evolução e promoções futuras.,https://www.br.indeed.com/company/Clubedodev/jobs/Desenvolvedor-PHP-React-f6961518bb3fc8e5?fccid=3eae11ed3cd3f1a4&vjs=3
6,Desenvolvedor(a) Web,Agência Upper,"São Paulo, SP",R$ 4.000 - R$ 5.000 por mês,PostedHoje,2022-05-06,"Venha fazer parte da nossa equipe!Procuramos profissionais para trabalhar em projetos desenvolvidos em PHP, React Native, JS, CSS, Laravel e HTML.",https://www.br.indeed.com/rc/clk?jk=cde398d3378f693f&fccid=ac0a18a060847670&vjs=3
7,Pessoa Desenvolvedora Back-end PHP,Webjump,"Home office in São Paulo, SP",,Postedhá 8 dias,2022-05-06,Disposição para ensinar o que sabe e aprender coisas novas;,https://www.br.indeed.com/rc/clk?jk=6f51a7424744349d&fccid=55e0ac93fb8b211b&vjs=3
8,UX/UI Designer,Somosotech IT Co Limited,"Home office temporário in São Paulo, SP",R$ 6.500 - R$ 8.000 por mês,PostedHoje,2022-05-06,"We are* looking for a *UX/UI Designer, who is super familiar with WordPress* to turn our websites and plugins into easy-to-use products for our clients.",https://www.br.indeed.com/company/Somosotech-IT-Co-Limited/jobs/Ux-Ui-Designer-c5ae20b334ee32dc?fccid=9f270b4ac4973530&vjs=3
9,Desenvolvedor(a) PHP,DOT digital group,"Home office in São Paulo, SP",,Postedhá 29 dias,2022-05-06,Desenvolvimento de sistemas e portais; Desenvolvimento de integração com sistemas já existentes; Criação de micro-serviços; Integração com diferentes bases de…,https://www.br.indeed.com/rc/clk?jk=1573714ed4389f8c&fccid=5bda41898503d8c4&vjs=3
10,Desenvolvedor(a) Back-end PHP,Slingshot,"São Paulo, SP",,Postedhá 23 dias,2022-05-06,"Requisitos Alta experiência em PHP e frameworks MVC; Banco de dados MySQL; Ferramentas de versionamento de código (GIT, ...).",https://www.br.indeed.com/rc/clk?jk=581aba3b72a22dca&fccid=712227910f72a4e1&vjs=3
11,Desenvolvedor PHP Pleno/Sênior,Innolevels,"São Paulo, SP",R$ 6.500 - R$ 8.000 por mês,EmployerAtiva 4 dias atrás,2022-05-06,"Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.""Grandes coisas em termos de negócios nunca são feitas por uma…",https://www.br.indeed.com/company/Innolevels/jobs/Desenvolvedor-PHP-Pleno-S%C3%AAnior-265c3143f2e34cb5?fccid=b98f3184c24b89e7&vjs=3
12,Desenvolvedora Full Stack PHP,LCA Viagens,"São Paulo, SP",R$ 12.000 por mês,Postedhá 30+ dias,2022-05-06,Grade Horária: 44 horas Semanais e 0 folga Semanais.,https://www.br.indeed.com/rc/clk?jk=cbfabe7f3a9d1028&fccid=f5a0a4b34999f549&vjs=3
13,DESENVOLVEDOR FRONT-END JÚNIOR,Infotera Tecnologia,"São Paulo, SP",R$ 3.000 - R$ 4.000 por mês,EmployerAtiva 10 dias atrás,2022-05-06,"Atuar no desenvolvimento de softwares para o setor de hotelaria e turismo, utilizando: HTML, CSS, PHP, JavaScript/TypeScript, NodeJS, MongoDB, Integração com…",https://www.br.indeed.com/company/Infotera-Tecnologia/jobs/Desenvolvedor-Front-End-J%C3%BAnior-d65b560ea44c7529?fccid=ae8f866c46dd46a9&vjs=3
14,Analista Desenvolvedor PHP Pleno - Santo Amaro,Jobbol,"São Paulo, SP",,Postedhá 15 dias,2022-05-06,Desenvolvimento de aplicações em PHP WordPress.,https://www.br.indeed.com/rc/clk?jk=148bb7b3307f5945&fccid=c64032edc49f7500&vjs=3
15,Estagiário de Programação,EMPREGARE.com,"São Paulo, SP",,PostedHoje,2022-05-06,Descrição: Conhecimentos fundamentais - Linguagem PHP - Linux - Apache - MySQL - HTML5 / CSS3 / JavaScript Requisitos: Conhecimentos desejáveis -…,https://www.br.indeed.com/rc/clk?jk=2d4c2bcdc34f5396&fccid=3d1bfc58726488e8&vjs=3
16,Analista de Sistemas,Clubedodev,"Home office in Barueri, SP",R$ 3.000 - R$ 6.000 por mês,EmployerAtiva 15 dias atrás,2022-05-06,Conhecimentos em React e React native será diferencial para evolução e promoções futuras.,https://www.br.indeed.com/company/Clubedodev/jobs/Analista-Sistemas-7776d76a08d96955?fccid=3eae11ed3cd3f1a4&vjs=3
17,Desenvolvedor (a) PHP,Bravi,"Home office in São Paulo, SP",,Postedhá 24 dias,2022-05-06,"Sempre temos mais o que aprender.Conhecimento e experiência com Arquitetura PHP 5+ / Codeigniter 3+ / Laravel 5+;Conhecimento Mysql, Docker, GIT, Devops, API.",https://www.br.indeed.com/rc/clk?jk=314e492e4ca503c8&fccid=ea733cebd32530ea&vjs=3
18,Desenvolvedor Backend PHP PLENO,Konecta Brasil,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Nosso time trabalha com a plataforma do IntergrALL aplicada e customizada ao negócio do cliente (Bancos, Vendas, Revendas, SAC, Transacional, Ouvidoria, etc.).",https://www.br.indeed.com/rc/clk?jk=7a807022f03f8302&fccid=f305b000dac98e79&vjs=3
19,Desenvolvedor(a) Wordpress,INTRANET MALL,"São Paulo, SP",,Postedhá 6 dias,2022-05-06,Estamos com uma vaga em aberta para Desenvolver Wordpress.,https://www.br.indeed.com/rc/clk?jk=f0b1a69525d43f24&fccid=10eaa303fb5c21ab&vjs=3
20,Desenvolvedor Full Stack,Newton Inteligencia Digital Ltda,"Home office in São Paulo, SP",R$ 2.000 - R$ 3.500 por mês,EmployerAtiva 3 dias atrás,2022-05-06,Ter familiaridade com algum framework MVC (de preferência Laravel).Vaga 100% Home Office devido a pandemia - Estruturando a empresa para retorno híbrido.,https://www.br.indeed.com/company/Newton-Inteligencia-Digital-Ltda/jobs/Desenvolvedor-Full-Stack-65b46003dd8a1dc4?fccid=13ffbe5a89ea9363&vjs=3
21,Programador(a) PHP + Wordpress,IT9 Marketing,"Santo André, SP",,Postedhá 22 dias,2022-05-06,"Disponibilizamos essa oportunidade para Manutenção, Desenvolvimento e operações de nossos clientes. Responsabilidades: Desenvolvimento de funcionalidades no…",https://www.br.indeed.com/rc/clk?jk=4574e7b8e889bbef&fccid=badb3c4da92a516e&vjs=3
22,Desenvolvedor Full Stack Jr,Talento RH,"Home office in São Paulo, SP",,Postedhá 2 dias,2022-05-06,"Buscamos Desenvolvedor Full Stack Jr para uma empresa no ramo de produção Digital focada em Desenvolvimento de Sites, Hotsites, Landing Pages, Lojas Virtuais .",https://www.br.indeed.com/company/Talento-RH/jobs/Desenvolvedor-Full-Stack-Junior-a50b6be985efbf34?fccid=de988f04353bba3b&vjs=3
23,Desenvolvedor Fullstack Jr,Taking,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-06,Cod. 1849 - Desenvolvedor Fullstack Jr Requisitos: - Expertise em PHP legado e Moderno; - Experiência com SQL; - Experiência ou interesse em aprender…,https://www.br.indeed.com/rc/clk?jk=7c21e4b453911161&fccid=54d424b6e8c4e1e7&vjs=3
24,Desenvolvedor PHP Pleno,Taking,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Vaga 1771 - Desenvolvedor PHP Pleno Requisitos: Desenvolver e implantar sistemas de tecnologia da informação, dimensionando requisitos e funcionalidades dos…",https://www.br.indeed.com/rc/clk?jk=3ae952c4fe4948e1&fccid=54d424b6e8c4e1e7&vjs=3
25,Programador Pleno,Esferas Software,"São Paulo, SP",R$ 5.000 por mês,EmployerAtiva 2 dias atrás,2022-05-06,"Sistema híbrido (1 vez por semana presencial).Buscamos por alguém autodidata, com lógica de programação avançada e que possa trabalhar no sistema híbrido …",https://www.br.indeed.com/company/Esferas-Software/jobs/Programador-Pleno-83796cde22c2c613?fccid=36e419d01e34ff6e&vjs=3
26,Intermediate PHP Developer - Backend (Remote),Rivalry,"Home office in São Paulo, SP",,Postedhá 3 dias,2022-05-06,"This is an intermediate role working alongside the current backend software engineering team; however, you will also work alongside both experienced and junior…",https://www.br.indeed.com/rc/clk?jk=82ffdcd6ef844419&fccid=0bb16a12cd46757f&vjs=3
27,ANALISTA DE INTEGRAÇÕES SR,Grupo Ri Happy,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Terá responsabilidade e autonomia sobre as integrações implementadas.Ser capaz de propor soluções robustas no desenvolvimento de sistemas.,https://www.br.indeed.com/rc/clk?jk=88989440d8247c24&fccid=cdf0ba56bbf9ae96&vjs=3
28,Desenvolvedor(a) Back-end,QuikDev,"São Paulo, SP",,Postedhá 2 dias,2022-05-06,"Se você é um(a) profissional focado no resultado, que sabe trabalhar em equipe e com muita vontade de aprender essa vaga é para você.",https://www.br.indeed.com/rc/clk?jk=2e819aa3cc3b2ba8&fccid=3f9a8b7d0b18c69a&vjs=3
29,Desenvolvedor Web,Veri Soluções Tecnológicas Ltda,"São Paulo, SP",R$ 7.500 por mês,EmployerAtiva 6 dias atrás,2022-05-06,Scrapyng em python usando a biblioteca requests.Scrapyng em python usando a biblioteca selenium webdriver.,https://www.br.indeed.com/company/Veri-Solu%C3%A7%C3%B5es-Tecnol%C3%B3gicas-Ltda/jobs/Desenvolvedor-Web-397614fc8d207571?fccid=e260f9ab2d929eeb&vjs=3
30,Vagas de emprego: Magna Sistemas,Magna Sistemas,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Banco de dados Relacional (SQL).Todas as vagas da MAGNASISTEMAS também estão abertas para pessoas com deficiência (PCD).,
31,vagas de emprego: São Paulo,,"Home office in São Paulo, SP",,Postedhá 4 dias,2022-05-06,"Muitas vezes confundido com um simples pop-up, Allert é um diferenciado canal digital de comunicação interna que envia mensagens diretamente na tela do…",
32,Vagas de emprego: CTMD TI SERV ENG COMP E TELECOM,CTMD TI SERV ENG COMP E TELECOM,"São Paulo, SP",R$ 2.351 - R$ 8.103 por mês,Postedhá 30+ dias,2022-05-06,"Para Developer/Programador com sólida experiência em E-commerce, com conhecimentos avançados em PrestaShop, programação de APIs, Desenvolvimento e Instalação de…",
33,Vagas de emprego: Semexe ‍ ️ A plataforma dos apaixonados por esporte,Semexe ‍ ️ A plataforma dos apaixonados por...,"Hybrid remote in São Paulo, SP",,Postedhá 23 dias,2022-05-06,"Birthday Off isso mesmo, no mês do seu aniversário você tem 1 dia de folga para curtir como quiser.No Dress Code queremos que você se vista da forma como se…",
34,Aquila Company,Aquila Company,"São Paulo, SP",,Postedhá 8 dias,2022-05-06,"Experiência comprovada sobre desenvolvimento de Sites, eCommerce e Apps;Automatizar processos através do uso da tecnologia, otimizando o trabalho dos…",
35,Experian,Experian,"Zona Sul de São Paulo, SP",,Postedhá 3 dias,2022-05-06,"Vivenciamos um momento de transformação digital e procuramos talentos que desejam ensinar, aprender e transformar junto com nosso time de Tecnologia.",
36,Vagas de emprego: Zarpo Viagens,Zarpo Viagens,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Tornar o mundo um lugar melhor é nosso desejo.Desenvolver novos recursos e oferecer suporte para diferentes aplicações da Zarpo;,
37,Vagas de emprego: nstech,nstech,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"O que é a Buonny? Desde a sua fundação, em 1995, a Buonny possui vocação pioneira em tecnologia para gerenciamento de riscos no transporte rodoviário de…",
38,G&P Projetos e Sistemas,G&P Projetos e Sistemas,"São Paulo, SP",R$ 5.000 - R$ 6.000 por mês,Postedhá 27 dias,2022-05-06,"Atribuições: Codificar em PHP e componentes, utilizando as melhores práticas estabelecidas pela empresa contratante; Realizar a auditoria do código gerado pelos…",
